"Id","District Name","Neighborhood Name","Street","Weekday","Month","Day","Hour","Part of the day","Mild injuries","Serious injuries","Victims","Vehicles involved","Longitude","Latitude"
"2017S008429    ","Unknown","Unknown","Número 27                                         ","Friday","October",13,8,"Morning",2,0,2,2,2.12562442,41.34004482
"2017S007316    ","Unknown","Unknown","Número 3 Zona Franca / Número 50 Zona Franca      ","Friday","September",1,13,"Morning",2,0,2,2,2.12045245,41.33942606
"2017S010210    ","Unknown","Unknown","Litoral (Besòs)                                   ","Friday","December",8,21,"Afternoon",5,0,5,2,2.1673561,41.3608855
"2017S006364    ","Unknown","Unknown","Número 3 Zona Franca                              ","Friday","July",21,2,"Night",1,0,1,2,2.12452894,41.33766786
"2017S004615    ","Sant Martí","el Camp de l'Arpa del Clot","Las Navas de Tolosa                               ","Thursday","May",25,14,"Afternoon",1,0,1,3,2.185272,41.416365
"2017S007775    ","Sant Martí","el Camp de l'Arpa del Clot","Indústria / Trinxant                              ","Wednesday","September",20,12,"Morning",1,0,1,2,2.183245,41.416336
"2017S004484    ","Sant Martí","el Camp de l'Arpa del Clot","Trinxant / Indústria                              ","Saturday","May",20,21,"Afternoon",1,0,1,2,2.183245,41.416336
"2017S010680    ","Sant Martí","el Camp de l'Arpa del Clot","Indústria                                         ","Tuesday","December",26,20,"Afternoon",2,0,2,1,2.183561,41.416372
"2017S005152    ","Sant Martí","el Camp de l'Arpa del Clot","Indústria                                         ","Monday","June",12,15,"Afternoon",1,0,1,1,2.184059,41.416763
"2017S003932    ","Sant Martí","el Camp de l'Arpa del Clot","Maragall                                          ","Wednesday","May",3,20,"Afternoon",1,0,1,1,2.181225,41.413958
"2017S010348    ","Sant Martí","el Camp de l'Arpa del Clot","Indústria                                         ","Thursday","December",14,20,"Afternoon",1,0,1,2,2.18229,41.415772
"2017S000245    ","Sant Martí","el Camp de l'Arpa del Clot","ST ANTONI M CLARET / Pg Maragall                  ","Wednesday","January",11,7,"Morning",1,0,1,2,2.180453,41.41579
"2017S005695    ","Sant Martí","el Camp de l'Arpa del Clot","Sant Antoni Maria Claret / Guinardó               ","Friday","June",30,12,"Morning",1,0,1,2,2.18114,41.416295
"2017S007384    ","Sant Martí","el Camp de l'Arpa del Clot","Sant Antoni Maria Claret                          ","Monday","September",4,16,"Afternoon",0,1,1,2,2.176324,41.412546
"2017S008080    ","Sant Martí","el Camp de l'Arpa del Clot","Sant Antoni Maria Claret                          ","Saturday","September",30,19,"Afternoon",1,0,1,2,2.176324,41.412546
"2017S003439    ","Sant Martí","el Camp de l'Arpa del Clot","Còrsega / Còrsega                                 ","Monday","April",17,14,"Afternoon",1,0,1,2,2.178314,41.410784
"2017S002410    ","Sant Martí","el Camp de l'Arpa del Clot","CÒRSEGA / Dos de Maig                             ","Saturday","March",25,14,"Afternoon",4,0,4,2,2.177719,41.410323
"2017S009296    ","Sant Martí","el Camp de l'Arpa del Clot","Indústria                                         ","Thursday","November",9,22,"Night",1,0,1,1,2.17674,41.411445
"2017S010102    ","Sant Martí","el Camp de l'Arpa del Clot","Rosselló / Independència                          ","Monday","December",4,0,"Night",2,0,2,2,2.1801,41.410287
"2017S002158    ","Sant Martí","el Camp de l'Arpa del Clot","VALÈNCIA                                          ","Friday","March",17,16,"Afternoon",1,0,1,2,2.184855,41.408993
"2017S007606    ","Sant Martí","el Camp de l'Arpa del Clot","València                                          ","Thursday","September",14,14,"Afternoon",1,0,1,2,2.154877,41.38621
"2017S007805    ","Sant Martí","el Camp de l'Arpa del Clot","València / Independència                          ","Wednesday","September",20,20,"Afternoon",0,1,1,2,2.183407,41.407785
"2017S008987    ","Sant Martí","el Camp de l'Arpa del Clot","València                                          ","Monday","October",30,20,"Afternoon",1,0,1,2,2.184033,41.408102
"2017S002244    ","Sant Martí","el Camp de l'Arpa del Clot","ARAGÓ / Corunya                                   ","Monday","March",20,19,"Afternoon",1,0,1,2,2.185732,41.407803
"2017S001012    ","Sant Martí","el Camp de l'Arpa del Clot","MALLORCA                                          ","Tuesday","February",7,11,"Morning",1,0,1,1,2.181775,41.408393
"2017S009722    ","Sant Martí","el Camp de l'Arpa del Clot","Mallorca                                          ","Wednesday","November",22,20,"Afternoon",1,0,1,2,2.181955,41.408529
"2017S001895    ","Sant Martí","el Camp de l'Arpa del Clot","DOS DE MAIG / Mallorca                            ","Wednesday","March",8,12,"Morning",1,0,1,2,2.181123,41.407749
"2017S008277    ","Sant Martí","el Camp de l'Arpa del Clot","Mallorca / Dos de Maig                            ","Saturday","October",7,6,"Morning",2,0,2,4,2.181123,41.407749
"2017S004380    ","Sant Martí","el Camp de l'Arpa del Clot","València / Independència                          ","Wednesday","May",17,13,"Morning",0,0,0,2,2.183407,41.407785
"2017S001233    ","Sant Martí","el Camp de l'Arpa del Clot","VALÈNCIA                                          ","Tuesday","February",14,16,"Afternoon",1,0,1,1,2.185751,41.409684
"2017S007303    ","Sant Martí","el Camp de l'Arpa del Clot","València                                          ","Thursday","August",31,21,"Afternoon",0,1,1,1,2.185811,41.40973
"2017S007003    ","Sant Martí","el Camp de l'Arpa del Clot","Aragó / Corunya                                   ","Tuesday","August",15,18,"Afternoon",1,0,1,2,2.185732,41.407803
"2017S000893    ","Sant Martí","el Camp de l'Arpa del Clot","ARAGÓ                                             ","Thursday","February",2,9,"Morning",1,0,1,2,2.18647,41.408498
"2017S001163    ","Sant Martí","el Camp de l'Arpa del Clot","AV MERIDIANA / Aragó                              ","Saturday","February",11,15,"Afternoon",1,0,1,2,2.186855,41.408523
"2017S007277    ","Sant Martí","el Camp de l'Arpa del Clot","Independència / Enamorats                         ","Thursday","August",31,7,"Morning",2,0,2,3,2.183965,41.407337
"2017S002245    ","Sant Martí","el Clot","AV MERIDIANA / Sèquia Comtal                      ","Monday","March",20,19,"Afternoon",1,0,1,1,2.186855,41.408523
"2017S009302    ","Sant Martí","el Clot","Meridiana                                         ","Friday","November",10,11,"Morning",1,0,1,1,2.187185,41.408131
"2017S002101    ","Sant Martí","el Clot","INDEPENDÈNCIA / Aragó                             ","Wednesday","March",15,23,"Night",1,0,1,1,2.18452,41.406912
"2017S005169    ","Sant Martí","el Clot","Corts Catalanes / Glòries Catalanes               ","Tuesday","June",13,9,"Morning",1,0,1,2,2.185863,41.402617
"2017S006669    ","Sant Martí","el Clot","Corts Catalanes                                   ","Tuesday","August",1,19,"Afternoon",1,0,1,2,2.188084,41.404624
"2017S005643    ","Sant Martí","el Clot","Badajoz / Diagonal                                ","Wednesday","June",28,19,"Afternoon",1,0,1,2,2.188682,41.403765
"2017S000296    ","Sant Martí","el Clot","INDEPENDÈNCIA / Av Meridiana                      ","Thursday","January",12,12,"Morning",1,0,1,2,2.186854,41.405403
"2017S000609    ","Sant Martí","el Clot","ARAGÓ                                             ","Monday","January",23,16,"Afternoon",1,0,1,2,2.185564,41.407541
"2017S005444    ","Sant Martí","Sant Martí de Provençals","Corts Catalanes                                   ","Wednesday","June",21,19,"Afternoon",1,0,1,1,2.196643,41.411561
"2017S007332    ","Sant Martí","Sant Martí de Provençals","Corts Catalanes / Espronceda                      ","Friday","September",1,18,"Afternoon",0,0,0,1,2.197063,41.411044
"2017S000726    ","Sant Martí","Sant Martí de Provençals","RBLA GUIPÚSCOA / Espronceda                       ","Friday","January",27,17,"Afternoon",2,0,2,2,2.193542,41.413696
"2017S001891    ","Sant Martí","Sant Martí de Provençals","RBLA GUIPÚSCOA                                    ","Wednesday","March",8,10,"Morning",1,0,1,2,2.194216,41.414467
"2017S000532    ","Sant Martí","el Clot","INDEPENDÈNCIA                                     ","Friday","January",20,11,"Morning",1,0,1,2,2.186061,41.405891
"2017S006453    ","Sant Martí","el Clot","Consell de Cent / Independència                   ","Monday","July",24,15,"Afternoon",1,0,1,2,2.185657,41.406065
