"Station","Air Quality","Longitude","Latitude","O3 Hour","O3 Quality","O3 Value","NO2 Hour","NO2 Quality","NO2 Value","PM10 Hour","PM10 Quality","PM10 Value","Generated","Date Time"
"Barcelona - Sants","Good",2.1331,41.3788,NA,NA,NA,"0h","Good",84,NA,NA,NA,"01/11/2018 0:00",1541027104
"Barcelona - Eixample","Moderate",2.1538,41.3853,"0h","Good",1,"0h","Moderate",113,"0h","Good",36,"01/11/2018 0:00",1541027104
"Barcelona - Gràcia","Good",2.1534,41.3987,"0h","Good",10,"0h","Good",73,NA,NA,NA,"01/11/2018 0:00",1541027104
"Barcelona - Ciutadella","Good",2.1874,41.3864,"0h","Good",2,"0h","Good",86,NA,NA,NA,"01/11/2018 0:00",1541027104
"Barcelona - Vall Hebron","Good",2.148,41.4261,"0h","Good",7,"0h","Good",69,NA,NA,NA,"01/11/2018 0:00",1541027104
"Barcelona - Palau Reial","Good",2.1151,41.3875,"23h","Good",11,"23h","Good",57,"23h","Good",23,"01/11/2018 0:00",1541027104
"Barcelona - Poblenou","Good",2.2045,41.4039,NA,NA,NA,"23h","Good",86,"23h","Good",32,"01/11/2018 0:00",1541027104
"Barcelona - Observ Fabra","Good",2.1239,41.4183,"23h","Good",58,"23h","Good",3,"23h","Good",25,"01/11/2018 0:00",1541027104
"Barcelona - Sants","Good",2.1331,41.3788,NA,NA,NA,"0h","Good",62,NA,NA,NA,"01/11/2018 1:00",1541030725
"Barcelona - Eixample","Good",2.1538,41.3853,"0h","Good",6,"0h","Good",80,"1h","Good",35,"01/11/2018 1:00",1541030725
"Barcelona - Gràcia","Good",2.1534,41.3987,"0h","Good",21,"0h","Good",59,NA,NA,NA,"01/11/2018 1:00",1541030725
"Barcelona - Ciutadella","Good",2.1874,41.3864,"0h","Good",4,"0h","Good",78,NA,NA,NA,"01/11/2018 1:00",1541030725
"Barcelona - Vall Hebron","Good",2.148,41.4261,"0h","Good",29,"0h","Good",45,NA,NA,NA,"01/11/2018 1:00",1541030725
"Barcelona - Palau Reial","Good",2.1151,41.3875,"0h","Good",27,"0h","Good",38,"1h","Good",24,"01/11/2018 1:00",1541030725
