"Year","District.Code","District.Name","Neighborhood.Code","Neighborhood.Name","Age","Number"
2017,1,"Ciutat Vella",1,"el Raval","0-4",1
2017,1,"Ciutat Vella",2,"el Barri Gòtic","0-4",1
2017,1,"Ciutat Vella",3,"la Barceloneta","0-4",0
2017,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","0-4",0
2017,2,"Eixample",5,"el Fort Pienc","0-4",0
2017,2,"Eixample",6,"la Sagrada Família","0-4",1
2017,2,"Eixample",7,"la Dreta de l'Eixample","0-4",0
2017,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","0-4",0
2017,2,"Eixample",9,"la Nova Esquerra de l'Eixample","0-4",0
2017,2,"Eixample",10,"Sant Antoni","0-4",0
2017,3,"Sants-Montjuïc",11,"el Poble Sec","0-4",1
2017,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","0-4",0
2017,3,"Sants-Montjuïc",13,"la Marina de Port","0-4",0
2017,3,"Sants-Montjuïc",14,"la Font de la Guatlla","0-4",0
2017,3,"Sants-Montjuïc",15,"Hostafrancs","0-4",0
2017,3,"Sants-Montjuïc",16,"la Bordeta","0-4",0
2017,3,"Sants-Montjuïc",17,"Sants - Badal","0-4",1
2017,3,"Sants-Montjuïc",18,"Sants","0-4",1
2017,4,"Les Corts",19,"les Corts","0-4",0
2017,4,"Les Corts",20,"la Maternitat i Sant Ramon","0-4",1
2017,4,"Les Corts",21,"Pedralbes","0-4",0
2017,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","0-4",0
2017,5,"Sarrià-Sant Gervasi",23,"Sarrià","0-4",0
2017,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","0-4",0
2017,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","0-4",0
2017,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","0-4",0
2017,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","0-4",0
2017,6,"Gràcia",28,"Vallcarca i els Penitents","0-4",1
2017,6,"Gràcia",29,"el Coll","0-4",1
2017,6,"Gràcia",30,"la Salut","0-4",0
2017,6,"Gràcia",31,"la Vila de Gràcia","0-4",2
2017,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","0-4",1
2017,7,"Horta-Guinardó",33,"el Baix Guinardó","0-4",1
2017,7,"Horta-Guinardó",34,"Can Baró","0-4",0
2017,7,"Horta-Guinardó",35,"el Guinardó","0-4",0
2017,7,"Horta-Guinardó",36,"la Font d'en Fargues","0-4",0
2017,7,"Horta-Guinardó",37,"el Carmel","0-4",1
2017,7,"Horta-Guinardó",38,"la Teixonera","0-4",0
2017,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","0-4",0
2017,7,"Horta-Guinardó",40,"Montbau","0-4",0
2017,7,"Horta-Guinardó",41,"la Vall d'Hebron","0-4",0
2017,7,"Horta-Guinardó",42,"la Clota","0-4",0
2017,7,"Horta-Guinardó",43,"Horta","0-4",0
2017,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","0-4",1
2017,8,"Nou Barris",45,"Porta","0-4",0
2017,8,"Nou Barris",46,"el Turó de la Peira","0-4",0
2017,8,"Nou Barris",47,"Can Peguera","0-4",0
2017,8,"Nou Barris",48,"la Guineueta","0-4",0
2017,8,"Nou Barris",49,"Canyelles","0-4",0
2017,8,"Nou Barris",50,"les Roquetes","0-4",2
2017,8,"Nou Barris",51,"Verdun","0-4",0
2017,8,"Nou Barris",52,"la Prosperitat","0-4",0
2017,8,"Nou Barris",53,"la Trinitat Nova","0-4",0
2017,8,"Nou Barris",54,"Torre Baró","0-4",0
2017,8,"Nou Barris",55,"Ciutat Meridiana","0-4",0
2017,8,"Nou Barris",56,"Vallbona","0-4",0
2017,9,"Sant Andreu",57,"la Trinitat Vella","0-4",0
2017,9,"Sant Andreu",58,"Baró de Viver","0-4",0
2017,9,"Sant Andreu",59,"el Bon Pastor","0-4",0
2017,9,"Sant Andreu",60,"Sant Andreu","0-4",0
2017,9,"Sant Andreu",61,"la Sagrera","0-4",2
2017,9,"Sant Andreu",62,"el Congrés i els Indians","0-4",1
2017,9,"Sant Andreu",63,"Navas","0-4",0
2017,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","0-4",0
2017,10,"Sant Martí",65,"el Clot","0-4",0
2017,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","0-4",0
2017,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","0-4",1
2017,10,"Sant Martí",68,"el Poblenou","0-4",0
2017,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","0-4",0
2017,10,"Sant Martí",70,"el Besòs i el Maresme","0-4",1
2017,10,"Sant Martí",71,"Provençals del Poblenou","0-4",0
2017,10,"Sant Martí",72,"Sant Martí de Provençals","0-4",0
2017,10,"Sant Martí",73,"la Verneda i la Pau","0-4",1
2017,1,"Ciutat Vella",1,"el Raval","5-9",0
2017,1,"Ciutat Vella",2,"el Barri Gòtic","5-9",0
2017,1,"Ciutat Vella",3,"la Barceloneta","5-9",0
2017,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","5-9",0
2017,2,"Eixample",5,"el Fort Pienc","5-9",0
2017,2,"Eixample",6,"la Sagrada Família","5-9",0
2017,2,"Eixample",7,"la Dreta de l'Eixample","5-9",0
2017,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","5-9",0
2017,2,"Eixample",9,"la Nova Esquerra de l'Eixample","5-9",0
2017,2,"Eixample",10,"Sant Antoni","5-9",1
2017,3,"Sants-Montjuïc",11,"el Poble Sec","5-9",0
2017,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","5-9",0
2017,3,"Sants-Montjuïc",13,"la Marina de Port","5-9",2
2017,3,"Sants-Montjuïc",14,"la Font de la Guatlla","5-9",0
2017,3,"Sants-Montjuïc",15,"Hostafrancs","5-9",0
2017,3,"Sants-Montjuïc",16,"la Bordeta","5-9",0
