"Year","District Code","District Name","Neighborhood Code","Neighborhood Name","Age","Immigrants","Emigrants"
2017,1,"Ciutat Vella",1,"el Raval","0-4",154,108
2017,1,"Ciutat Vella",2,"el Barri Gòtic","0-4",58,33
2017,1,"Ciutat Vella",3,"la Barceloneta","0-4",38,37
2017,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","0-4",56,55
2017,2,"Eixample",5,"el Fort Pienc","0-4",79,60
2017,2,"Eixample",6,"la Sagrada Família","0-4",111,95
2017,2,"Eixample",7,"la Dreta de l'Eixample","0-4",121,78
2017,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","0-4",97,63
2017,2,"Eixample",9,"la Nova Esquerra de l'Eixample","0-4",123,130
2017,2,"Eixample",10,"Sant Antoni","0-4",57,80
2017,3,"Sants-Montjuïc",11,"el Poble Sec","0-4",80,99
2017,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","0-4",1,2
2017,3,"Sants-Montjuïc",13,"la Marina de Port","0-4",71,59
2017,3,"Sants-Montjuïc",14,"la Font de la Guatlla","0-4",14,15
2017,3,"Sants-Montjuïc",15,"Hostafrancs","0-4",31,37
2017,3,"Sants-Montjuïc",16,"la Bordeta","0-4",33,39
2017,3,"Sants-Montjuïc",17,"Sants - Badal","0-4",49,57
2017,3,"Sants-Montjuïc",18,"Sants","0-4",106,83
2017,4,"Les Corts",19,"les Corts","0-4",103,73
2017,4,"Les Corts",20,"la Maternitat i Sant Ramon","0-4",81,55
2017,4,"Les Corts",21,"Pedralbes","0-4",36,16
2017,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","0-4",20,16
2017,5,"Sarrià-Sant Gervasi",23,"Sarrià","0-4",87,61
2017,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","0-4",72,28
2017,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","0-4",59,30
2017,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","0-4",141,82
2017,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","0-4",74,64
2017,6,"Gràcia",28,"Vallcarca i els Penitents","0-4",37,39
2017,6,"Gràcia",29,"el Coll","0-4",18,16
2017,6,"Gràcia",30,"la Salut","0-4",41,23
2017,6,"Gràcia",31,"la Vila de Gràcia","0-4",88,104
2017,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","0-4",73,68
2017,7,"Horta-Guinardó",33,"el Baix Guinardó","0-4",48,44
2017,7,"Horta-Guinardó",34,"Can Baró","0-4",16,17
2017,7,"Horta-Guinardó",35,"el Guinardó","0-4",72,71
