"Order","Name","Gender","Year","Frequency"
1,"LAURA","Female",1996,237
2,"MARIA","Female",1996,219
3,"MARTA","Female",1996,206
4,"ANDREA","Female",1996,199
5,"ANNA","Female",1996,195
6,"PAULA","Female",1996,186
7,"ALBA","Female",1996,142
8,"SARA","Female",1996,125
9,"LAIA","Female",1996,123
10,"CLAUDIA","Female",1996,122
11,"JULIA","Female",1996,115
12,"CARLA","Female",1996,112
13,"MIREIA","Female",1996,112
14,"MARINA","Female",1996,102
15,"CRISTINA","Female",1996,99
16,"CLARA","Female",1996,89
17,"JUDITH","Female",1996,80
18,"ARIADNA","Female",1996,78
19,"NURIA","Female",1996,72
20,"PATRICIA","Female",1996,71
21,"RAQUEL","Female",1996,69
22,"ANA","Female",1996,65
23,"IRENE","Female",1996,64
24,"JUDIT","Female",1996,63
25,"SANDRA","Female",1996,55
1,"MARIA","Female",1997,241
2,"LAURA","Female",1997,229
3,"MARTA","Female",1997,211
4,"ANDREA","Female",1997,209
5,"PAULA","Female",1997,205
6,"LAIA","Female",1997,158
7,"ANNA","Female",1997,146
8,"ALBA","Female",1997,134
9,"JULIA","Female",1997,132
10,"CARLA","Female",1997,118
11,"CLAUDIA","Female",1997,106
12,"CRISTINA","Female",1997,105
13,"SARA","Female",1997,97
14,"IRENE","Female",1997,96
15,"ARIADNA","Female",1997,90
16,"MIREIA","Female",1997,90
17,"CLARA","Female",1997,83
18,"NURIA","Female",1997,83
19,"MARINA","Female",1997,81
20,"JUDITH","Female",1997,72
21,"JUDIT","Female",1997,71
22,"RAQUEL","Female",1997,67
23,"BERTA","Female",1997,66
24,"MAR","Female",1997,64
25,"SANDRA","Female",1997,64
1,"MARIA","Female",1998,265
2,"LAURA","Female",1998,202
3,"PAULA","Female",1998,175
4,"MARTA","Female",1998,166
5,"ANDREA","Female",1998,161
6,"ANNA","Female",1998,149
7,"LAIA","Female",1998,148
8,"JULIA","Female",1998,124
9,"CARLA","Female",1998,119
10,"CLAUDIA","Female",1998,110
11,"MARINA","Female",1998,107
12,"SARA","Female",1998,102
13,"ALBA","Female",1998,101
