"Year","Month","District Code","District Name","Neighborhood Code","Neighborhood Name","Gender","Demand_occupation","Number"
"2017","January","1","Ciutat Vella","1","el Raval","Male","Registered unemployed",2107
"2017","January","1","Ciutat Vella","2","el Barri Gòtic","Male","Registered unemployed",538
"2017","January","1","Ciutat Vella","3","la Barceloneta","Male","Registered unemployed",537
"2017","January","1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Male","Registered unemployed",741
"2017","January","2","Eixample","5","el Fort Pienc","Male","Registered unemployed",630
"2017","January","2","Eixample","6","la Sagrada Família","Male","Registered unemployed",1032
"2017","January","2","Eixample","7","la Dreta de l'Eixample","Male","Registered unemployed",655
"2017","January","2","Eixample","8","l'Antiga Esquerra de l'Eixample","Male","Registered unemployed",751
"2017","January","2","Eixample","9","la Nova Esquerra de l'Eixample","Male","Registered unemployed",1128
"2017","January","2","Eixample","10","Sant Antoni","Male","Registered unemployed",847
"2017","January","3","Sants-Montjuïc","11","el Poble Sec","Male","Registered unemployed",1247
"2017","January","3","Sants-Montjuïc","12","la Marina del Prat Vermell","Male","Registered unemployed",72
"2017","January","3","Sants-Montjuïc","13","la Marina de Port","Male","Registered unemployed",814
"2017","January","3","Sants-Montjuïc","14","la Font de la Guatlla","Male","Registered unemployed",311
"2017","January","3","Sants-Montjuïc","15","Hostafrancs","Male","Registered unemployed",339
"2017","January","3","Sants-Montjuïc","16","la Bordeta","Male","Registered unemployed",398
"2017","January","3","Sants-Montjuïc","17","Sants - Badal","Male","Registered unemployed",422
"2017","January","3","Sants-Montjuïc","18","Sants","Male","Registered unemployed",812
"2017","January","4","Les Corts","19","les Corts","Male","Registered unemployed",839
"2017","January","4","Les Corts","20","la Maternitat i Sant Ramon","Male","Registered unemployed",417
"2017","January","4","Les Corts","21","Pedralbes","Male","Registered unemployed",103
"2017","January","5","Sarrià-Sant Gervasi","22","Vallvidrera, el Tibidabo i les Planes","Male","Registered unemployed",42
"2017","January","5","Sarrià-Sant Gervasi","23","Sarrià","Male","Registered unemployed",221
"2017","January","5","Sarrià-Sant Gervasi","24","les Tres Torres","Male","Registered unemployed",163
"2017","January","5","Sarrià-Sant Gervasi","25","Sant Gervasi - la Bonanova","Male","Registered unemployed",259
"2017","January","5","Sarrià-Sant Gervasi","26","Sant Gervasi - Galvany","Male","Registered unemployed",521
"2017","January","5","Sarrià-Sant Gervasi","27","el Putxet i el Farró","Male","Registered unemployed",474
"2017","January","6","Gràcia","28","Vallcarca i els Penitents","Male","Registered unemployed",308
"2017","January","6","Gràcia","29","el Coll","Male","Registered unemployed",129
"2017","January","6","Gràcia","30","la Salut","Male","Registered unemployed",250
"2017","January","6","Gràcia","31","la Vila de Gràcia","Male","Registered unemployed",1004
"2017","January","6","Gràcia","32","el Camp d'en Grassot i Gràcia Nova","Male","Registered unemployed",654
"2017","January","7","Horta-Guinardó","33","el Baix Guinardó","Male","Registered unemployed",507
"2017","January","7","Horta-Guinardó","34","Can Baró","Male","Registered unemployed",178
"2017","January","7","Horta-Guinardó","35","el Guinardó","Male","Registered unemployed",844
"2017","January","7","Horta-Guinardó","36","la Font d'en Fargues","Male","Registered unemployed",253
"2017","January","7","Horta-Guinardó","37","el Carmel","Male","Registered unemployed",861
"2017","January","7","Horta-Guinardó","38","la Teixonera","Male","Registered unemployed",260
"2017","January","7","Horta-Guinardó","39","Sant Genís dels Agudells","Male","Registered unemployed",157
"2017","January","7","Horta-Guinardó","40","Montbau","Male","Registered unemployed",114
"2017","January","7","Horta-Guinardó","41","la Vall d'Hebron","Male","Registered unemployed",121
"2017","January","7","Horta-Guinardó","42","la Clota","Male","Registered unemployed",8
"2017","January","7","Horta-Guinardó","43","Horta","Male","Registered unemployed",719
"2017","January","8","Nou Barris","44","Vilapicina i la Torre Llobeta","Male","Registered unemployed",663
"2017","January","8","Nou Barris","45","Porta","Male","Registered unemployed",648
"2017","January","8","Nou Barris","46","el Turó de la Peira","Male","Registered unemployed",414
"2017","January","8","Nou Barris","47","Can Peguera","Male","Registered unemployed",58
"2017","January","8","Nou Barris","48","la Guineueta","Male","Registered unemployed",483
"2017","January","8","Nou Barris","49","Canyelles","Male","Registered unemployed",235
"2017","January","8","Nou Barris","50","les Roquetes","Male","Registered unemployed",511
"2017","January","8","Nou Barris","51","Verdun","Male","Registered unemployed",391
"2017","January","8","Nou Barris","52","la Prosperitat","Male","Registered unemployed",730
"2017","January","8","Nou Barris","53","la Trinitat Nova","Male","Registered unemployed",348
"2017","January","8","Nou Barris","54","Torre Baró","Male","Registered unemployed",97
"2017","January","8","Nou Barris","55","Ciutat Meridiana","Male","Registered unemployed",504
"2017","January","8","Nou Barris","56","Vallbona","Male","Registered unemployed",58
"2017","January","9","Sant Andreu","57","la Trinitat Vella","Male","Registered unemployed",467
"2017","January","9","Sant Andreu","58","Baró de Viver","Male","Registered unemployed",56
"2017","January","9","Sant Andreu","59","el Bon Pastor","Male","Registered unemployed",317
"2017","January","9","Sant Andreu","60","Sant Andreu","Male","Registered unemployed",1282
"2017","January","9","Sant Andreu","61","la Sagrera","Male","Registered unemployed",620
"2017","January","9","Sant Andreu","62","el Congrés i els Indians","Male","Registered unemployed",302
"2017","January","9","Sant Andreu","63","Navas","Male","Registered unemployed",469
"2017","January","10","Sant Martí","64","el Camp de l'Arpa del Clot","Male","Registered unemployed",988
"2017","January","10","Sant Martí","65","el Clot","Male","Registered unemployed",631
"2017","January","10","Sant Martí","66","el Parc i la Llacuna del Poblenou","Male","Registered unemployed",296
