,Reputation,Views,UpVotes,DownVotes,Score,ViewCount,CommentCount
0,1,0,5007,1920,0,0,0
1,1,0,5007,1920,0,0,0
2,1,0,5007,1920,0,0,0
3,1,0,5007,1920,0,0,0
4,1,0,5007,1920,0,0,0
5,1,0,5007,1920,0,0,0
6,1,0,5007,1920,0,0,0
7,1,0,5007,1920,0,0,0
8,1,0,5007,1920,0,0,0
9,1,0,5007,1920,0,0,0
10,1,0,5007,1920,0,0,0
11,1,0,5007,1920,0,0,0
12,1,0,5007,1920,0,0,0
13,1,0,5007,1920,0,0,0
14,1,0,5007,1920,0,0,0
15,1,0,5007,1920,0,0,0
16,1,0,5007,1920,0,0,0
17,1,0,5007,1920,0,0,0
18,1,0,5007,1920,0,0,0
19,1,0,5007,1920,0,0,0
20,1,0,5007,1920,0,0,0
21,1,0,5007,1920,0,0,0
22,1,0,5007,1920,0,0,0
23,1,0,5007,1920,0,0,0
24,1,0,5007,1920,0,0,0
25,1,0,5007,1920,0,0,0
26,1,0,5007,1920,0,0,0
27,1,0,5007,1920,0,0,0
28,1,0,5007,1920,0,0,0
29,1,0,5007,1920,0,0,0
30,1,0,5007,1920,0,0,0
31,1,0,5007,1920,0,0,0
32,1,0,5007,1920,0,0,0
33,1,0,5007,1920,0,0,0
34,1,0,5007,1920,0,0,0
35,1,0,5007,1920,0,0,0
36,1,0,5007,1920,0,0,0
37,1,0,5007,1920,0,0,0
38,1,0,5007,1920,0,0,0
39,1,0,5007,1920,0,0,0
40,1,0,5007,1920,0,0,0
41,1,0,5007,1920,0,0,0
42,1,0,5007,1920,0,0,0
43,1,0,5007,1920,0,0,0
44,1,0,5007,1920,0,0,0
45,1,0,5007,1920,0,0,0
46,1,0,5007,1920,0,0,0
47,1,0,5007,1920,0,0,0
48,1,0,5007,1920,0,0,0
49,1,0,5007,1920,0,0,0
50,1,0,5007,1920,0,0,0
51,1,0,5007,1920,0,0,0
52,1,0,5007,1920,0,0,0
53,1,0,5007,1920,0,0,0
54,1,0,5007,1920,0,0,0
55,1,0,5007,1920,0,0,0
56,1,0,5007,1920,0,0,0
57,1,0,5007,1920,0,0,0
58,1,0,5007,1920,0,0,0
59,1,0,5007,1920,0,0,0
60,1,0,5007,1920,0,0,0
61,1,0,5007,1920,0,0,0
62,1,0,5007,1920,0,0,0
63,1,0,5007,1920,0,0,0
64,1,0,5007,1920,0,0,0
65,1,0,5007,1920,0,0,0
66,1,0,5007,1920,0,0,0
67,1,0,5007,1920,0,0,0
68,1,0,5007,1920,0,0,0
69,1,0,5007,1920,0,0,0
70,1,0,5007,1920,0,0,0
71,1,0,5007,1920,0,0,0
72,1,0,5007,1920,0,0,0
73,1,0,5007,1920,0,0,0
74,1,0,5007,1920,0,0,0
75,1,0,5007,1920,0,0,0
76,1,0,5007,1920,0,0,0
77,1,0,5007,1920,0,0,0
78,1,0,5007,1920,0,0,0
79,1,0,5007,1920,0,0,0
80,1,0,5007,1920,0,0,0
81,1,0,5007,1920,0,0,0
82,1,0,5007,1920,0,0,0
83,1,0,5007,1920,0,0,0
84,1,0,5007,1920,0,0,0
85,1,0,5007,1920,0,0,0
86,1,0,5007,1920,0,0,0
87,1,0,5007,1920,0,0,0
88,1,0,5007,1920,0,0,0
89,1,0,5007,1920,0,0,0
90,1,0,5007,1920,0,0,0
91,1,0,5007,1920,0,0,0
92,1,0,5007,1920,0,0,0
93,1,0,5007,1920,0,0,0
94,1,0,5007,1920,0,0,0
95,1,0,5007,1920,0,0,0
96,1,0,5007,1920,0,0,0
97,1,0,5007,1920,0,0,0
98,1,0,5007,1920,0,0,0
99,1,0,5007,1920,0,0,0
100,1,0,5007,1920,0,0,0
101,1,0,5007,1920,0,0,0
102,1,0,5007,1920,0,0,0
103,1,0,5007,1920,0,0,0
104,1,0,5007,1920,0,0,0
105,1,0,5007,1920,0,0,0
106,1,0,5007,1920,0,0,0
107,1,0,5007,1920,0,0,0
108,1,0,5007,1920,0,0,0
109,1,0,5007,1920,0,0,0
110,1,0,5007,1920,0,0,0
111,1,0,5007,1920,0,0,0
112,1,0,5007,1920,0,0,0
113,1,0,5007,1920,0,0,0
114,1,0,5007,1920,0,0,0
115,1,0,5007,1920,0,0,0
116,1,0,5007,1920,0,0,0
117,1,0,5007,1920,0,0,0
118,1,0,5007,1920,0,0,0
119,1,0,5007,1920,0,0,0
120,1,0,5007,1920,0,0,0
121,1,0,5007,1920,0,0,0
122,1,0,5007,1920,0,0,0
123,6792,1145,662,5,152,29229,5
131,6792,1145,662,5,28,1990,6
133,6792,1145,662,5,75,29261,2
134,6792,1145,662,5,26,0,4
145,6792,1145,662,5,156,64481,7
146,6792,1145,662,5,40,0,0
177,6792,1145,662,5,26,2762,1
191,6792,1145,662,5,21,9878,0
199,6792,1145,662,5,95,0,1
201,6792,1145,662,5,24,1475,2
204,6792,1145,662,5,26,0,2
234,6792,1145,662,5,24,0,1
248,457,114,47,0,40,0,1
253,429,56,20,0,26,0,4
256,6764,1089,604,25,41,67396,7
258,6764,1089,604,25,33,0,4
260,6764,1089,604,25,30,1220,1
264,6764,1089,604,25,56,7733,1
273,6764,1089,604,25,96,0,1
280,6764,1089,604,25,6,0,11
299,6764,1089,604,25,40,0,4
331,6764,1089,604,25,29,1068,0
334,6764,1089,604,25,30,0,4
336,6764,1089,604,25,73,4526,2
359,6764,1089,604,25,1,0,14
379,136,10,10,0,29,5877,17
383,817,178,44,1,66,175495,3
385,817,178,44,1,29,28291,1
388,817,178,44,1,88,0,0
389,817,178,44,1,27,0,1
392,345,14,13,1,40,25962,4
395,128,8,16,0,54,3613,4
399,591,90,693,6,24,5717,5
433,308,52,34,1,81,0,3
435,344,48,36,1,22,8198,1
436,344,48,36,1,23,21925,4
444,4968,641,328,23,61,0,1
461,4968,641,328,23,61,0,3
469,4968,641,328,23,24,0,3
486,4968,641,328,23,10,2305,14
492,4968,641,328,23,21,1131,11
512,3150,257,138,7,1,0,12
537,3150,257,138,7,0,0,13
539,3150,257,138,7,4,0,12
540,3150,257,138,7,5,0,12
567,3150,257,138,7,1,0,11
569,2250,318,28,1,129,0,11
574,2250,318,28,1,66,0,5
579,2185,312,40,3,70,0,1
595,2185,312,40,3,29,1806,5
611,2185,312,40,3,74,0,6
619,1570,173,26,1,31,0,1
625,1570,173,26,1,25,0,1
632,1570,173,26,1,32,0,6
641,1570,173,26,1,42,14706,0
645,1570,173,26,1,12,7912,1
649,133,15,1,0,76,5808,3
650,1651,255,12,0,24,0,1
658,1651,255,12,0,37,0,2
668,611,83,12,0,39,0,4
685,861,62,12,0,87,11927,3
748,1956,147,39,4,71,0,6
769,549,90,13,3,11,53644,0
773,549,90,13,3,2,2137,11
780,614,102,12,0,102,21916,1
796,530,174,630,6,36,0,0
804,1936,328,2317,1,71,24738,2
857,2316,1126,74,65,56,22890,3
864,2316,1126,74,65,52,5188,2
873,2316,1126,74,65,66,0,1
878,2316,1126,74,65,11,13526,3
880,2316,1126,74,65,36,0,0
883,2316,1126,74,65,26,36345,3
888,2316,1126,74,65,9,8826,0
897,2316,1126,74,65,39,0,0
900,2316,1126,74,65,40,0,6
901,2316,1126,74,65,34,0,0
902,2316,1126,74,65,35,0,2
922,321,44,4,0,18,3476,14
937,1307,80,86,0,60,0,4
959,685,49,68,0,1,0,12
969,804,64,11,0,122,39118,11
970,176,25,3,0,14,9481,2
971,740,89,58,2,25,0,2
979,14082,3320,4235,126,25,0,0
996,14082,3320,4235,126,109,0,3
997,14082,3320,4235,126,84,0,1
1011,14082,3320,4235,126,6,0,11
1019,14082,3320,4235,126,14,0,13
1077,14082,3320,4235,126,24,0,0
1108,14082,3320,4235,126,64,0,3
1130,14082,3320,4235,126,14,0,14
1159,14082,3320,4235,126,29,0,0
1252,14082,3320,4235,126,25,0,8
1292,1281,105,61,4,31,3293,8
1295,1281,105,61,4,49,0,5
1300,561,287,27,0,30,7111,10
1331,151,42,3,0,1,0,12
1361,443,59,9,1,38,11197,11
1373,708,61,44,1,35,14608,1
1377,708,61,44,1,51,0,2
1394,473,60,46,0,11,15260,1
1408,391,31,0,0,55,67592,4
1415,236,46,29,1,28,0,6
1416,236,46,29,1,78,0,1
1417,236,46,29,1,11,3783,11
1421,166,19,22,0,27,0,6
1426,33,8,2,0,3,12626,0
1450,758,241,41,0,1,0,12
1451,185,19,10,0,67,14326,4
1455,185,19,10,0,7,23465,0
1472,1396,269,477,1,18,16285,5
1500,321,23,6,0,27,3293,2
1502,321,23,6,0,10,12304,0
1510,18283,3781,1014,59,35,0,0
1513,18283,3781,1014,59,50,39097,0
1515,18283,3781,1014,59,51,9772,3
1519,18283,3781,1014,59,27,0,2
1523,18283,3781,1014,59,44,11149,6
1525,18283,3781,1014,59,31,0,6
1529,18283,3781,1014,59,74,0,6
1530,18283,3781,1014,59,146,0,5
1534,18283,3781,1014,59,24,0,6
1537,18283,3781,1014,59,36,0,3
1538,18283,3781,1014,59,29,0,8
1541,18283,3781,1014,59,9,0,11
1546,18283,3781,1014,59,36,0,0
1549,18283,3781,1014,59,66,28878,5
1554,18283,3781,1014,59,27,0,0
1564,18283,3781,1014,59,7,0,12
1578,18283,3781,1014,59,25,0,1
1579,18283,3781,1014,59,25,0,2
1582,18283,3781,1014,59,32,0,4
1662,18283,3781,1014,59,6,0,12
1741,564,113,15,0,27,2447,2
1756,792,78,163,4,34,9369,2
1772,1416,147,352,10,25,3894,6
1781,1416,147,352,10,42,4982,2
1814,22625,4069,2496,45,48,4470,3
1820,22625,4069,2496,45,29,0,5
1821,22625,4069,2496,45,36,0,1
1827,22625,4069,2496,45,25,0,0
1840,22625,4069,2496,45,60,0,3
1843,22625,4069,2496,45,26,0,2
1867,22625,4069,2496,45,53,2985,0
1879,22625,4069,2496,45,41,0,2
