,country,Data Scientist,Data Analyst,Business Analyst,Data Engineer
0,France,1.0,1.0,3.0,2.0
1,Germany,2.0,5.0,10.0,1.0
2,United Kingdom,3.0,4.0,8.0,3.0
3,India,4.0,3.0,4.0,4.0
4,Netherlands,5.0,18.0,15.0,5.0
5,United States Of America,6.0,2.0,20.0,15.0
6,Israel,7.0,10.0,26.0,8.0
7,Singapore,8.0,8.0,6.0,6.0
8,Canada,9.0,6.0,9.0,7.0
9,Switzerland,10.0,17.0,2.0,9.0
10,Hong Kong,11.0,11.0,1.0,17.0
11,Italy,12.0,13.0,13.0,16.0
12,Belgium,13.0,12.0,7.0,12.0
13,Spain,14.0,16.0,19.0,11.0
14,Poland,15.0,14.0,12.0,13.0
15,Australia,16.0,7.0,5.0,10.0
16,Sweden,17.0,26.0,25.0,14.0
17,Austria,18.0,22.0,16.0,19.0
18,South Africa,19.0,15.0,14.0,21.0
19,Philippines,20.0,9.0,11.0,23.0
20,Indonesia,21.0,19.0,21.0,18.0
21,United Arab Emirates,22.0,27.0,23.0,30.0
22,Ireland,23.0,20.0,18.0,20.0
23,Mexico,24.0,24.0,24.0,24.0
24,Malaysia,25.0,21.0,17.0,26.0
25,Brazil,26.0,29.0,27.0,22.0
26,Turkey,27.0,48.0,37.0,35.0
27,Japan,28.0,58.0,39.0,38.0
28,Denmark,29.0,35.0,32.0,28.0
29,People'S Republic Of China,30.0,28.0,28.0,25.0
30,Argentina,31.0,33.0,36.0,27.0
31,Portugal,32.0,46.0,43.0,34.0
32,New Zealand,33.0,25.0,22.0,31.0
33,Nigeria,34.0,23.0,29.0,55.0
34,Greece,35.0,40.0,38.0,33.0
35,Ukraine,36.0,38.0,30.0,45.0
36,Finland,37.0,56.0,,56.0
37,Hungary,38.0,34.0,31.0,44.0
38,Luxembourg,39.0,,35.0,49.0
39,Taiwan,40.0,42.0,56.0,29.0
40,Egypt,41.0,31.0,41.0,32.0
41,Saudi Arabia,42.0,43.0,33.0,50.0
42,South Korea,43.0,,46.0,43.0
43,Vietnam,44.0,44.0,48.0,48.0
44,Romania,45.0,37.0,49.0,39.0
45,Thailand,46.0,32.0,40.0,36.0
46,Pakistan,47.0,30.0,34.0,37.0
47,Peru,48.0,53.0,62.0,
48,Russia,49.0,59.0,,
49,Kenya,50.0,57.0,,
50,Bulgaria,51.0,41.0,45.0,41.0
51,Serbia,52.0,63.0,,42.0
52,Slovakia,53.0,50.0,50.0,46.0
53,Costa Rica,54.0,36.0,42.0,
54,Norway,55.0,61.0,60.0,54.0
55,Lithuania,56.0,39.0,57.0,
56,Croatia,57.0,,51.0,
57,Estonia,58.0,51.0,,
58,Iran,59.0,,,
59,Slovenia,60.0,,59.0,
60,Colombia,61.0,55.0,47.0,
61,Chile,62.0,,63.0,51.0
62,Uruguay,63.0,49.0,,
63,Sri Lanka,,45.0,53.0,
64,Cyprus,,47.0,,52.0
65,Rwanda,,52.0,,
66,Uganda,,54.0,,
67,Mauritius,,60.0,,
68,Panama,,62.0,,
69,Afghanistan,,64.0,,
70,Belarus,,,44.0,40.0
71,Kazakhstan,,,52.0,
72,Latvia,,,54.0,
73,Jordan,,,55.0,
74,Morocco,,,58.0,
75,Qatar,,,61.0,
76,Lebanon,,,64.0,
77,Malta,,,,47.0
78,Ghana,,,,53.0
