,country,Business Analyst Rank,Data Analyst Rank,Data Scientist Rank,Data Engineer Rank
0,Argentina,45,26,26,34
1,Australia,4,4,4,5
2,Austria,52,27,23,52
3,Bangladesh,51,39,45,54
4,Belarus,50,49,41,44
5,Belgium,33,15,20,6
6,Brazil,39,34,34,21
7,Canada,10,12,5,8
8,Chile,27,29,16,16
9,China,34,35,21,26
10,Colombia,41,37,25,39
11,Czech Republic,26,31,33,53
12,Denmark,2,1,8,50
13,Egypt,53,41,52,55
14,Finland,15,8,13,9
15,France,19,22,22,19
16,Germany,18,6,11,11
17,Greece,38,48,44,40
18,Hong Kong (S.A.R.),0,16,14,23
19,Hungary,37,30,40,4
20,India,35,25,37,33
21,Indonesia,48,43,56,25
22,"Iran, Islamic Republic of...",42,53,46,48
23,Ireland,9,20,6,3
24,Israel,11,10,3,0
25,Italy,29,7,28,13
26,Japan,7,9,19,12
27,Kenya,40,38,0,30
28,Malaysia,22,46,51,29
29,Mexico,28,44,30,32
30,Morocco,43,52,54,45
31,Netherlands,12,17,18,10
32,New Zealand,16,18,10,43
33,Nigeria,36,54,48,27
34,Norway,5,0,9,49
35,Other,24,36,31,36
36,Pakistan,21,55,55,20
37,Peru,49,40,32,38
38,Philippines,47,5,47,51
39,Poland,25,32,35,28
40,Portugal,17,28,38,37
41,Republic of Korea,54,19,7,35
42,Romania,31,45,50,24
43,Russia,30,33,42,31
44,Singapore,14,3,17,18
45,South Africa,6,24,24,17
46,South Korea,44,21,36,14
47,Spain,20,23,27,22
48,Sweden,13,13,15,15
49,Switzerland,1,14,2,2
50,Thailand,23,50,29,42
51,Tunisia,55,56,39,56
52,Turkey,46,51,49,41
53,Ukraine,56,47,43,47
54,United Kingdom of Great Britain and Northern Ireland,8,11,12,7
55,United States of America,3,2,1,1
56,Viet Nam,32,42,53,46
