,country,Data Engineer,Data Analyst,Business Analyst,Data Scientist
0,Argentina,34.0,26,45.0,26
1,Australia,5.0,5,4.0,4
2,Austria,,27,,23
3,Bangladesh,,39,49.0,45
4,Belarus,44.0,49,50.0,41
5,Belgium,6.0,15,33.0,20
6,Brazil,21.0,34,39.0,34
7,Canada,8.0,12,10.0,5
8,Chile,16.0,29,25.0,16
9,China,26.0,35,34.0,21
10,Colombia,38.0,36,41.0,25
11,Czech Republic,,31,26.0,33
12,Denmark,,1,2.0,8
13,Egypt,,41,,52
14,Finland,9.0,8,15.0,13
15,France,19.0,22,19.0,22
16,Germany,11.0,6,18.0,11
17,Greece,40.0,48,36.0,44
18,Hong Kong (S.A.R.),25.0,16,0.0,14
19,Hungary,4.0,30,37.0,40
20,India,33.0,25,35.0,37
21,Indonesia,24.0,42,48.0,56
22,"Iran, Islamic Republic of...",48.0,53,42.0,46
23,Ireland,3.0,20,9.0,6
24,Israel,0.0,10,11.0,3
25,Italy,13.0,7,29.0,28
26,Japan,12.0,9,7.0,19
27,Kenya,29.0,38,40.0,0
28,Malaysia,30.0,46,21.0,51
29,Mexico,32.0,44,28.0,30
30,Morocco,45.0,52,44.0,54
31,Netherlands,10.0,17,12.0,18
32,New Zealand,43.0,18,17.0,10
33,Nigeria,27.0,54,38.0,48
34,Norway,,0,5.0,9
35,Other,36.0,37,24.0,31
36,Pakistan,20.0,55,23.0,55
37,Peru,39.0,40,51.0,32
38,Philippines,,4,47.0,47
39,Poland,28.0,32,27.0,35
40,Portugal,37.0,28,16.0,38
41,Republic of Korea,35.0,19,,7
42,Romania,23.0,45,32.0,50
43,Russia,31.0,33,30.0,42
44,Singapore,18.0,3,14.0,17
45,South Africa,17.0,24,6.0,24
46,South Korea,15.0,21,43.0,36
47,Spain,22.0,23,20.0,27
48,Sweden,14.0,13,13.0,15
49,Switzerland,2.0,14,1.0,2
50,Thailand,42.0,50,22.0,29
51,Tunisia,,56,,39
52,Turkey,41.0,51,46.0,49
53,Ukraine,47.0,47,,43
54,United Kingdom of Great Britain and Northern Ireland,7.0,11,8.0,12
55,United States of America,1.0,2,3.0,1
56,Viet Nam,46.0,43,31.0,53
